scoring_id,activo_id,fecha_scoring,horizonte_dias,probabilidad_falla,prediccion,prioridad,modelo_version,explicabilidad,created_at,dias_desde_ultima_ot,count_ot_30d,count_correctivas_30d,costo_total_30d,dias_ult_correctiva_motor,dias_ult_correctiva_frenos,dias_ult_correctiva_transmision,odometro_actual,sistema_en_riesgo,prioridad_pre_decay,ajuste_intervencion_reciente,tipo_mant_atenuacion,dias_desde_intervencion
54625347-52b6-4db3-a29e-7f6529413bd9,ACE-0001,2026-06-07,7,0.023005707189440727,0,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,refrigeracion,,False,,
1c059f1b-ee08-413c-b64c-cb9529e4aa65,ACE-0002,2026-06-07,7,0.0029896802734583616,0,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,combustible_admision,,False,,
e29f1ecd-c416-4992-8815-123e5f137ec0,ACE-0003,2026-06-07,7,0.09995747357606888,0,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,hidraulico_neumatico_auxiliar,,False,,
e63bb700-94ce-415a-9def-f73d6e0bd4e2,ACE-0004,2026-06-07,7,0.17958909273147583,1,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,lubricacion,,False,,
bae08fa5-15b1-401b-b39e-b42074496108,ACE-0005,2026-06-07,7,0.6089399456977844,1,P3_media,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,motor_combustion,,False,,
2d3463ec-e898-495d-a13b-771d5174bfdf,ACE-0006,2026-06-07,7,0.11812528967857361,1,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,transmision,,False,,
e87d58e2-c489-4c91-8039-f4beff84cf41,ACE-0007,2026-06-07,7,0.0359080471098423,0,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,carroceria_chasis,,False,,
8ef80910-13c4-4f19-b62c-65957c19216a,ACE-0008,2026-06-07,7,0.007554373238235712,0,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,suspension,,False,,
7c0b3f6c-b901-4a9c-82d9-123b7702a44e,ACE-0009,2026-06-07,7,0.02311236597597599,0,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,electrico_12v_24v,,False,,
7683d8e8-7b89-48cf-a45a-28322ff77076,ACE-0010,2026-06-07,7,0.25125566124916077,1,P4_baja,xgboost_v1.0,,2026-06-08 02:36:44.816696+00:00,,,,,,,,,escape_emisiones,,False,,
