id,marca,modelo,sistema,sku,cantidad_promedio,frecuencia_fallos_historico,num_registros_analizados,fecha_calculo
376a634a-9e38-4ba3-82d4-a7ffd1f67bd8,Ford,Cargo 1723,carroceria_chasis,REP-0756,1.0,1,4,2026-06-17 13:23:56.906713
f10ba298-0279-4436-a98c-87c5c01b215b,Ford,Cargo 1723,carroceria_chasis,REP-0757,1.0,1,4,2026-06-17 13:23:56.906713
f7ca65df-8ea9-4540-a0a2-4387e758e8ac,Ford,Cargo 1723,carroceria_chasis,REP-0758,1.0,2,8,2026-06-17 13:23:56.906713
680c0a08-c54e-4b38-9e40-1fee8344bf30,Ford,Cargo 1723,carroceria_chasis,REP-0760,1.0,1,4,2026-06-17 13:23:56.906713
a26cfc05-8bc7-43d0-9759-969631988cca,Ford,Cargo 1723,carroceria_chasis,REP-0761,1.0,2,8,2026-06-17 13:23:56.906713
b1a9eb09-7e63-4877-9c22-6e96d2b86ee4,Ford,Cargo 1723,carroceria_chasis,REP-0764,1.0,1,4,2026-06-17 13:23:56.906713
74f665fb-481e-4815-b839-51f5f5d236d2,Ford,Cargo 1723,carroceria_chasis,REP-0765,2.0,1,4,2026-06-17 13:23:56.906713
9214fd6f-94e1-486a-aaac-c6506a976abf,Ford,Cargo 1723,carroceria_chasis,REP-0768,1.0,1,4,2026-06-17 13:23:56.906713
7f097a0b-c0e8-4c75-919e-43bdf278a17b,Ford,Cargo 1723,carroceria_chasis,REP-0769,1.0,1,4,2026-06-17 13:23:56.906713
eda06a65-5396-49c5-b376-d9514f4187f4,Ford,Cargo 1723,carroceria_chasis,REP-0770,1.0,1,4,2026-06-17 13:23:56.906713
17f06659-af56-4002-80fb-94358e98dd0d,Ford,Cargo 1723,carroceria_chasis,REP-0773,1.0,1,4,2026-06-17 13:23:56.906713
bb29a741-83fb-4fa2-a11d-6f7ba402a2c6,Ford,Cargo 1723,carroceria_chasis,REP-0774,1.0,1,4,2026-06-17 13:23:56.906713
62fdb655-76f8-4b33-abe2-6628f8381b77,Ford,Cargo 1723,carroceria_chasis,REP-0775,1.0,1,4,2026-06-17 13:23:56.906713
c5e0e098-fcb2-494c-90c6-d5de8e848777,Ford,Cargo 1723,carroceria_chasis,REP-0782,2.0,1,4,2026-06-17 13:23:56.906713
618e3a12-d2c5-4155-bc11-dac802dc80ce,Ford,Cargo 1723,carroceria_chasis,REP-0785,1.0,1,4,2026-06-17 13:23:56.906713
8109fd34-4aff-438c-bbb2-a16be391a44b,Ford,Cargo 1723,combustible_admision,REP-0101,1.0,1,4,2026-06-17 13:23:56.906713
89a598d1-824a-4ccb-8470-3b70f36a5121,Ford,Cargo 1723,combustible_admision,REP-0210,1.0,1,4,2026-06-17 13:23:56.906713
5971ef9c-7f53-48a9-bac8-f7f255863eae,Ford,Cargo 1723,combustible_admision,REP-0617,1.0,1,4,2026-06-17 13:23:56.906713
64e8a13f-b441-45a3-8fa8-506e77182276,Ford,Cargo 1723,combustible_admision,REP-0619,1.5,2,8,2026-06-17 13:23:56.906713
fd917418-5731-4200-9744-429455cbdff0,Ford,Cargo 1723,combustible_admision,REP-0620,2.0,2,8,2026-06-17 13:23:56.906713
680f0e03-ae9c-4578-b1b8-eebb0c815cac,Ford,Cargo 1723,combustible_admision,REP-0621,1.0,1,4,2026-06-17 13:23:56.906713
80c67b91-b0dc-4bf8-98ba-2dad810ed3c6,Ford,Cargo 1723,combustible_admision,REP-0623,1.0,2,8,2026-06-17 13:23:56.906713
77e11801-6669-48fe-923d-35ccebacb8cf,Ford,Cargo 1723,combustible_admision,REP-0624,1.0,1,4,2026-06-17 13:23:56.906713
a736c4a1-9fc8-44d0-bd13-3c564e762090,Ford,Cargo 1723,combustible_admision,REP-0625,1.3333333333333333,3,12,2026-06-17 13:23:56.906713
1653653a-84c6-465a-ac23-e24441f868a3,Ford,Cargo 1723,combustible_admision,REP-0626,1.0,1,4,2026-06-17 13:23:56.906713
6489c96c-efc9-4428-b177-d3b0977cecfe,Ford,Cargo 1723,combustible_admision,REP-0627,1.0,1,4,2026-06-17 13:23:56.906713
1712ab82-d11e-4e6a-a9ef-6c789993dc61,Ford,Cargo 1723,combustible_admision,REP-0628,2.3333333333333335,3,12,2026-06-17 13:23:56.906713
7f520e37-17e5-476a-b38f-8589022afa74,Ford,Cargo 1723,combustible_admision,REP-0630,3.25,4,16,2026-06-17 13:23:56.906713
8c802547-8025-4349-a734-0ef82fbb3953,Ford,Cargo 1723,combustible_admision,REP-0631,1.0,1,4,2026-06-17 13:23:56.906713
c5238d1d-3036-48b4-a1f0-b914f39bcbf6,Ford,Cargo 1723,combustible_admision,REP-0632,1.5,2,8,2026-06-17 13:23:56.906713
ba981a5a-b11d-4993-a54c-8fa328378f24,Ford,Cargo 1723,combustible_admision,REP-0633,2.5,2,8,2026-06-17 13:23:56.906713
5ed7b3a8-da60-4433-ab82-8bad72bd39ff,Ford,Cargo 1723,combustible_admision,REP-0634,1.0,1,4,2026-06-17 13:23:56.906713
3867c676-3ab5-4bbc-9695-5a017a74dac9,Ford,Cargo 1723,combustible_admision,REP-0635,1.5,2,8,2026-06-17 13:23:56.906713
1e6c73d5-b0f1-4386-b991-17bb744f6d7d,Ford,Cargo 1723,combustible_admision,REP-0636,1.0,1,4,2026-06-17 13:23:56.906713
9283a88e-6c8d-47b4-b7cc-dcdcff56bfe7,Ford,Cargo 1723,combustible_admision,REP-0637,1.0,2,8,2026-06-17 13:23:56.906713
4af51e58-ebb3-4726-8b9f-54a8410272cd,Ford,Cargo 1723,combustible_admision,REP-0639,2.0,1,4,2026-06-17 13:23:56.906713
b5c92a80-3cac-4dd9-9079-21c9bab4031b,Ford,Cargo 1723,combustible_admision,REP-0640,1.0,1,4,2026-06-17 13:23:56.906713
d8e317ff-e310-4f9b-8017-2a16c3e9eac5,Ford,Cargo 1723,combustible_admision,REP-0641,1.0,1,4,2026-06-17 13:23:56.906713
ad44a78f-9b47-4282-8078-dea5d00c3f89,Ford,Cargo 1723,combustible_admision,REP-0646,1.0,1,4,2026-06-17 13:23:56.906713
036a4791-4759-469c-9444-47ca65773c44,Ford,Cargo 1723,combustible_admision,REP-0647,2.5,6,24,2026-06-17 13:23:56.906713
389e80ef-c9e7-470a-9285-426506297df8,Ford,Cargo 1723,combustible_admision,REP-0648,2.5,2,8,2026-06-17 13:23:56.906713
7242d053-3e9a-4734-9580-2d9c6c9b0d2f,Ford,Cargo 1723,combustible_admision,REP-0649,1.0,1,4,2026-06-17 13:23:56.906713
91841df2-3694-479a-91da-28345225aeed,Ford,Cargo 1723,combustible_admision,REP-0650,2.0,1,4,2026-06-17 13:23:56.906713
a51b6ddd-323d-4d4b-9fa1-2b8b7b3e2ac5,Ford,Cargo 1723,combustible_admision,REP-0651,3.0,2,8,2026-06-17 13:23:56.906713
d5f80989-4fbb-4556-a843-b5de0e702ef7,Ford,Cargo 1723,combustible_admision,REP-0652,1.5,2,8,2026-06-17 13:23:56.906713
2eb9cc16-4fe7-44ec-91a5-2f73951ce732,Ford,Cargo 1723,combustible_admision,REP-0653,1.3333333333333333,3,12,2026-06-17 13:23:56.906713
74784768-be0c-43fc-bd9d-8d09a250b00e,Ford,Cargo 1723,combustible_admision,REP-0654,1.5,2,8,2026-06-17 13:23:56.906713
26a4eec6-a6df-4a06-ac8b-be73071b7061,Ford,Cargo 1723,combustible_admision,REP-0655,1.2857142857142858,7,28,2026-06-17 13:23:56.906713
