id,sku,descripcion,stock_actual,demanda_30d_prediccion,demanda_30d_historico,lead_time_dias,cobertura_dias,criticidad,accion,delta_demanda,fecha_calculo
2f3d1276-1d6d-421e-9be8-1689cd851273,REP-0726,Perno de rueda para cami√≥n liviano,24.0,22.0,20.48,2.0,32.72727272727273,alta,✅ OK,7.421874999999997,2026-06-17 14:10:58.272276
13702c3e-a33e-4dbc-bbd8-896ff10bcd58,REP-0291,Refrigerante listo para usar para auto liviano,4.0,21.33,34.3,2.0,5.625879043600563,media,🟡 Comprar,-37.8134110787172,2026-06-17 14:10:58.272276
8ad8667b-8fb0-4ead-96ce-45d268cd1d1d,REP-0725,Perno de rueda para camioneta,24.0,20.0,35.88,2.0,36.0,alta,✅ OK,-44.25863991081383,2026-06-17 14:10:58.272276
36dcfede-9c32-4dc3-92eb-8b1f9a9ecc00,REP-0290,Refrigerante concentrado para van,4.0,17.5,19.52,2.0,6.857142857142857,media,🟡 Comprar,-10.348360655737702,2026-06-17 14:10:58.272276
c551d873-c72d-4c84-93b9-80f35b8fdad3,REP-0728,Perno de rueda para van,24.0,17.0,25.88,2.0,42.352941176470594,alta,✅ OK,-34.31221020092735,2026-06-17 14:10:58.272276
698eacff-7190-4c7c-9222-04489f7e5669,REP-0102,L√≠quido de frenos DOT 3 para camioneta,24.0,17.0,23.24,2.0,42.352941176470594,alta,✅ OK,-26.85025817555938,2026-06-17 14:10:58.272276
d97820da-d7b9-4fab-827d-62f24d3f4e11,REP-0291,Refrigerante listo para usar para auto liviano,4.0,17.0,34.3,2.0,7.0588235294117645,media,🟡 Comprar,-50.43731778425655,2026-06-17 14:10:58.272276
745b27fc-9292-4f9e-b9da-59a501f4c61c,REP-0915,Filtro de aceite para auto liviano,3.0,16.0,52.06,2.0,5.625,media,🟡 Comprar,-69.26623127160968,2026-06-17 14:10:58.272276
81b4510d-18cc-4d3a-bd0a-33b33c02a5fc,REP-0647,Prefiltro de combustible para auto liviano,24.0,15.0,32.0,2.0,48.0,media,✅ OK,-53.125,2026-06-17 14:10:58.272276
e6b3326a-7d88-460d-b3d4-a88f1dd06ec8,REP-0625,Filtro de combustible para camioneta,3.0,15.0,22.08,2.0,6.0,media,🟡 Comprar,-32.06521739130434,2026-06-17 14:10:58.272276
75013262-2006-41cd-9c97-7ed3c6591f51,REP-0260,Dep√≥sito de refrigerante para van,5.0,15.0,6.16,4.0,10.0,media,🟡 Comprar,143.50649350649348,2026-06-17 14:10:58.272276
beb39fb4-9313-483f-aa9d-67069997326f,REP-0864,Filtro de cabina para van,1.0,15.0,4.98,2.0,2.0,baja,🟡 Comprar,201.2048192771084,2026-06-17 14:10:58.272276
