activo_id,fecha_corte,horizonte_dias,edad_dias,edad_anos,odometro_actual,horometro_actual,km_dia_promedio,horas_dia_promedio,dias_desde_ultima_ot,count_ot_30d,count_ot_90d,count_ot_180d,count_correctivas_30d,count_correctivas_90d,count_correctivas_180d,costo_total_30d,costo_total_90d,costo_total_180d,mtbf_180d,dias_ult_correctiva_motor,dias_ult_correctiva_frenos,dias_ult_correctiva_transmision,target,created_at
ACE-0001,2026-01-05,7,181.0,0.49555099247091033,35426.0,796.0,-1.0,-1.0,47.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,571000.0,571000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0002,2026-01-05,7,3481.0,9.530458590006845,875159.0,17337.9,-1.0,-1.0,57.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2051000.0,2051000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0003,2026-01-05,7,2889.0,7.909650924024641,138961.0,5139.6,-1.0,-1.0,128.0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0,5812000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0004,2026-01-05,7,1236.0,3.383983572895277,76097.0,3258.2,-1.0,-1.0,50.0,-1.0,1.0,2.0,-1.0,1.0,1.0,-1.0,2843000.0,3316000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0005,2026-01-05,7,1420.0,3.887748117727584,165421.0,7647.5,-1.0,-1.0,84.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1618000.0,1618000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0006,2026-01-05,7,817.0,2.236824093086927,97427.0,3531.4,-1.0,-1.0,45.0,-1.0,1.0,2.0,-1.0,1.0,1.0,-1.0,2063000.0,2423000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0007,2026-01-05,7,1461.0,4.0,410427.0,8058.2,-1.0,-1.0,150.0,-1.0,-1.0,3.0,-1.0,-1.0,2.0,-1.0,-1.0,2415000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0008,2026-01-05,7,1594.0,4.3641341546885695,315612.0,5255.8,-1.0,-1.0,159.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1857000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0009,2026-01-05,7,1728.0,4.731006160164271,269937.0,7431.9,-1.0,-1.0,43.0,-1.0,2.0,3.0,-1.0,1.0,2.0,-1.0,2162000.0,3628000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0010,2026-01-05,7,2894.0,7.923340177960301,296304.0,18467.6,-1.0,-1.0,223.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0011,2026-01-05,7,2978.0,8.153319644079398,387272.0,21147.2,-1.0,-1.0,107.0,-1.0,-1.0,2.0,-1.0,-1.0,1.0,-1.0,-1.0,1353000.0,-1.0,-1.0,-1.0,-1.0,1,2026-06-04 22:03:25.681507+00:00
ACE-0012,2026-01-05,7,3274.0,8.9637234770705,177738.0,7361.0,-1.0,-1.0,37.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2206000.0,2206000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0013,2026-01-05,7,-18.0,-0.049281314168377825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0014,2026-01-05,7,1105.0,3.025325119780972,65056.0,4043.9,-1.0,-1.0,204.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2026-06-04 22:03:25.681507+00:00
ACE-0015,2026-01-05,7,1589.0,4.350444900752909,175376.0,5954.2,-1.0,-1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1687000.0,1687000.0,1687000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0016,2026-01-05,7,522.0,1.429158110882957,54125.0,3115.0,-1.0,-1.0,17.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,601000.0,601000.0,601000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0017,2026-01-05,7,3571.0,9.776865160848734,509736.0,14563.8,-1.0,-1.0,11.0,1.0,2.0,2.0,1.0,1.0,1.0,1714000.0,2007000.0,2007000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0018,2026-01-05,7,4019.0,11.003422313483915,622099.0,16524.8,-1.0,-1.0,41.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,-1.0,410000.0,3596000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0019,2026-01-05,7,1521.0,4.164271047227926,157760.0,14464.7,-1.0,-1.0,235.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0020,2026-01-05,7,3956.0,10.830937713894592,690423.0,23008.5,-1.0,-1.0,11.0,1.0,1.0,2.0,-1.0,-1.0,1.0,475000.0,475000.0,1955000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0021,2026-01-05,7,2302.0,6.3025325119780975,790357.0,11636.9,-1.0,-1.0,14.0,1.0,2.0,4.0,1.0,2.0,3.0,1204000.0,1870000.0,4082000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0022,2026-01-05,7,1084.0,2.967830253251198,85617.0,5792.2,-1.0,-1.0,100.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,2296000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0023,2026-01-05,7,1570.0,4.298425735797399,212552.0,18200.3,-1.0,-1.0,53.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,580000.0,580000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0024,2026-01-05,7,370.0,1.0130047912388775,56782.0,929.4,-1.0,-1.0,216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0025,2026-01-05,7,3191.0,8.736481861738536,494164.0,11810.4,-1.0,-1.0,116.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,236000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0026,2026-01-05,7,-64.0,-0.17522245037645448,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0027,2026-01-05,7,1154.0,3.159479808350445,346323.0,6190.5,-1.0,-1.0,20.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,415000.0,415000.0,415000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0028,2026-01-05,7,3048.0,8.344969199178644,1023380.0,19814.0,-1.0,-1.0,321.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0029,2026-01-05,7,3935.0,10.77344284736482,379608.0,18852.8,-1.0,-1.0,14.0,1.0,2.0,5.0,-1.0,-1.0,2.0,518000.0,976000.0,5791000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0030,2026-01-05,7,2372.0,6.494182067077344,197249.0,4846.3,-1.0,-1.0,320.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0031,2026-01-05,7,1583.0,4.334017796030117,143066.0,5887.9,-1.0,-1.0,53.0,-1.0,1.0,6.0,-1.0,1.0,3.0,-1.0,718000.0,5356000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0032,2026-01-05,7,1079.0,2.954140999315537,219211.0,4265.3,-1.0,-1.0,65.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,764000.0,1253000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0033,2026-01-05,7,1671.0,4.574948665297741,416510.0,6480.7,-1.0,-1.0,25.0,1.0,3.0,7.0,-1.0,-1.0,1.0,329000.0,1090000.0,4199000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0034,2026-01-05,7,1798.0,4.922655715263518,154712.0,5793.0,-1.0,-1.0,416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0035,2026-01-05,7,-103.0,-0.28199863107460643,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0036,2026-01-05,7,1317.0,3.6057494866529773,176012.0,5532.4,-1.0,-1.0,36.0,-1.0,2.0,6.0,-1.0,-1.0,3.0,-1.0,937000.0,7783000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0037,2026-01-05,7,2282.0,6.247775496235455,374668.0,12010.4,-1.0,-1.0,442.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0038,2026-01-05,7,606.0,1.6591375770020533,53056.0,4693.9,-1.0,-1.0,35.0,-1.0,1.0,2.0,-1.0,1.0,1.0,-1.0,1733000.0,2236000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0039,2026-01-05,7,1081.0,2.9596167008898013,128766.0,4949.1,-1.0,-1.0,20.0,1.0,3.0,5.0,-1.0,1.0,2.0,473000.0,1352000.0,3529000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0040,2026-01-05,7,2200.0,6.023271731690623,216105.0,6679.6,-1.0,-1.0,85.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1118000.0,1118000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0041,2026-01-05,7,618.0,1.6919917864476386,56645.0,2494.1,-1.0,-1.0,62.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,465000.0,1780000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0042,2026-01-05,7,1914.0,5.240246406570842,126869.0,7321.1,-1.0,-1.0,78.0,-1.0,2.0,2.0,-1.0,1.0,1.0,-1.0,3117000.0,3117000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0043,2026-01-05,7,192.0,0.5256673511293635,16753.0,295.1,-1.0,-1.0,97.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1457000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0044,2026-01-05,7,66.0,0.1806981519507187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0045,2026-01-05,7,2934.0,8.032854209445585,498015.0,18787.2,-1.0,-1.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,1860000.0,1860000.0,2638000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0046,2026-01-05,7,3432.0,9.396303901437372,1053600.0,17440.2,-1.0,-1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1124000.0,1876000.0,1876000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0047,2026-01-05,7,1939.0,5.308692676249144,385150.0,10967.9,-1.0,-1.0,56.0,-1.0,1.0,3.0,-1.0,-1.0,2.0,-1.0,284000.0,3608000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0048,2026-01-05,7,2818.0,7.715263518138261,359261.0,19163.5,-1.0,-1.0,211.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0049,2026-01-05,7,180.0,0.4928131416837782,21440.0,884.5,-1.0,-1.0,28.0,1.0,2.0,2.0,-1.0,-1.0,-1.0,318000.0,1146000.0,1146000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0050,2026-01-05,7,-47.0,-0.12867898699520877,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0051,2026-01-05,7,2752.0,7.534565366187543,167814.0,13729.6,-1.0,-1.0,26.0,1.0,3.0,7.0,-1.0,-1.0,1.0,515000.0,1421000.0,3733000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0052,2026-01-05,7,1570.0,4.298425735797399,239436.0,8449.4,-1.0,-1.0,101.0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0,5426000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0053,2026-01-05,7,2161.0,5.916495550992471,113430.0,4276.6,-1.0,-1.0,134.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1887000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0054,2026-01-05,7,3852.0,10.546201232032855,719961.0,17730.1,-1.0,-1.0,73.0,-1.0,1.0,3.0,-1.0,1.0,2.0,-1.0,1892000.0,4603000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0055,2026-01-05,7,942.0,2.5790554414784395,70742.0,4058.0,-1.0,-1.0,52.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1357000.0,5020000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0056,2026-01-05,7,854.0,2.3381245722108144,154160.0,2496.0,-1.0,-1.0,22.0,1.0,1.0,3.0,1.0,1.0,3.0,1963000.0,1963000.0,4442000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0057,2026-01-05,7,2536.0,6.9431895961670085,133126.0,19708.1,-1.0,-1.0,249.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0058,2026-01-05,7,2734.0,7.485284052019165,339236.0,8134.2,-1.0,-1.0,93.0,-1.0,-1.0,3.0,-1.0,-1.0,2.0,-1.0,-1.0,4217000.0,-1.0,-1.0,-1.0,-1.0,1,2026-06-04 22:03:25.681507+00:00
ACE-0059,2026-01-05,7,2976.0,8.147843942505133,869971.0,15475.7,-1.0,-1.0,67.0,-1.0,1.0,5.0,-1.0,1.0,4.0,-1.0,1072000.0,7639000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0060,2026-01-05,7,2684.0,7.34839151266256,832379.0,15382.9,-1.0,-1.0,82.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,658000.0,3050000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0061,2026-01-05,7,863.0,2.3627652292950034,60494.0,2912.2,-1.0,-1.0,155.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1236000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0062,2026-01-05,7,2503.0,6.852840520191649,292023.0,10867.1,-1.0,-1.0,131.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1966000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0063,2026-01-05,7,-76.0,-0.2080766598220397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0064,2026-01-05,7,3081.0,8.435318275154003,818476.0,17967.9,-1.0,-1.0,65.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1442000.0,1442000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0065,2026-01-05,7,3527.0,9.656399726214921,560297.0,16332.9,-1.0,-1.0,69.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2453000.0,2453000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0066,2026-01-05,7,3654.0,10.004106776180699,188569.0,11036.6,-1.0,-1.0,36.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,956000.0,2354000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0067,2026-01-05,7,2094.0,5.73305954825462,197067.0,28924.2,-1.0,-1.0,26.0,1.0,3.0,3.0,1.0,1.0,1.0,610000.0,1614000.0,1614000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0068,2026-01-05,7,2511.0,6.874743326488707,723368.0,11760.7,-1.0,-1.0,411.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0069,2026-01-05,7,276.0,0.75564681724846,32576.0,4364.5,-1.0,-1.0,23.0,1.0,2.0,3.0,-1.0,1.0,1.0,446000.0,2396000.0,2805000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0070,2026-01-05,7,2315.0,6.338124572210814,198534.0,10221.6,-1.0,-1.0,71.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,462000.0,2465000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0071,2026-01-05,7,3094.0,8.470910335386721,357960.0,39043.1,-1.0,-1.0,443.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0072,2026-01-05,7,-19.0,-0.05201916495550993,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
ACE-0073,2026-01-05,7,3608.0,9.878165639972622,711062.0,14662.0,-1.0,-1.0,188.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-04 22:03:25.681507+00:00
