activo_id,fecha_corte,horizonte_dias,edad_dias,edad_anos,odometro_actual,horometro_actual,km_dia_promedio,horas_dia_promedio,dias_desde_ultima_ot,count_ot_30d,count_ot_90d,count_ot_180d,count_correctivas_30d,count_correctivas_90d,count_correctivas_180d,costo_total_30d,costo_total_90d,costo_total_180d,mtbf_180d,dias_ult_correctiva_motor,dias_ult_correctiva_frenos,dias_ult_correctiva_transmision,target,created_at
ACE-0001,2026-01-08,7,184.0,0.5037645448323066,35426.0,796.0,-1.0,-1.0,50.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,571000.0,571000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0002,2026-01-08,7,3484.0,9.538672142368242,875159.0,17337.9,-1.0,-1.0,60.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2051000.0,2051000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0003,2026-01-08,7,2892.0,7.917864476386037,138961.0,5139.6,-1.0,-1.0,131.0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0,5812000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0004,2026-01-08,7,1239.0,3.3921971252566734,76097.0,3258.2,-1.0,-1.0,53.0,-1.0,1.0,2.0,-1.0,1.0,1.0,-1.0,2843000.0,3316000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0005,2026-01-08,7,1423.0,3.89596167008898,165421.0,7647.5,-1.0,-1.0,87.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1618000.0,1618000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0006,2026-01-08,7,820.0,2.245037645448323,97427.0,3531.4,-1.0,-1.0,48.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2063000.0,2063000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0007,2026-01-08,7,1464.0,4.008213552361396,410427.0,8058.2,-1.0,-1.0,153.0,-1.0,-1.0,3.0,-1.0,-1.0,2.0,-1.0,-1.0,2415000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0008,2026-01-08,7,1597.0,4.372347707049966,315612.0,5255.8,-1.0,-1.0,162.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1857000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0009,2026-01-08,7,1731.0,4.739219712525667,269937.0,7431.9,-1.0,-1.0,46.0,-1.0,2.0,3.0,-1.0,1.0,2.0,-1.0,2162000.0,3628000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0010,2026-01-08,7,2897.0,7.931553730321697,296304.0,18467.6,-1.0,-1.0,226.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0011,2026-01-08,7,2981.0,8.161533196440795,387272.0,21147.2,-1.0,-1.0,110.0,-1.0,-1.0,2.0,-1.0,-1.0,1.0,-1.0,-1.0,1353000.0,-1.0,-1.0,-1.0,-1.0,1,2026-06-08 02:28:31.383812+00:00
ACE-0012,2026-01-08,7,3277.0,8.971937029431896,177738.0,7361.0,-1.0,-1.0,40.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2206000.0,2206000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0013,2026-01-08,7,-15.0,-0.04106776180698152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0014,2026-01-08,7,1108.0,3.033538672142368,78171.0,4821.1,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,732000.0,732000.0,732000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0015,2026-01-08,7,1592.0,4.358658453114305,175376.0,5954.2,-1.0,-1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1687000.0,1687000.0,1687000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0016,2026-01-08,7,525.0,1.4373716632443532,54125.0,3115.0,-1.0,-1.0,20.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,601000.0,601000.0,601000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
ACE-0017,2026-01-08,7,3574.0,9.78507871321013,509736.0,14563.8,-1.0,-1.0,14.0,1.0,2.0,2.0,1.0,1.0,1.0,1714000.0,2007000.0,2007000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-08 02:28:31.383812+00:00
