scoring_id,activo_id,fecha_scoring,horizonte_dias,probabilidad_falla,prediccion,prioridad,modelo_version,explicabilidad,created_at,dias_desde_ultima_ot,count_ot_30d,count_correctivas_30d,costo_total_30d,dias_ult_correctiva_motor,dias_ult_correctiva_frenos,dias_ult_correctiva_transmision,odometro_actual,sistema_en_riesgo
5e65c6ec-f2ee-4325-b3b2-1951cbbf785f,ACE-0001,2026-06-05,7,0.06281567364931107,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,refrigeracion
a9e13928-fe46-48f5-8103-ec0744012284,ACE-0002,2026-06-05,7,0.002957707503810525,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,combustible_admision
f1a5fb22-a14d-4546-80ca-7b76d177af92,ACE-0003,2026-06-05,7,0.11743532121181488,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,hidraulico_neumatico_auxiliar
ef851815-db9d-4031-b52f-be55b376866b,ACE-0004,2026-06-05,7,0.18009288609027863,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,lubricacion
676053f0-abec-44e8-85de-64bb37c4c70d,ACE-0005,2026-06-05,7,0.671453595161438,1,P3_media,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,motor_combustion
e31c6836-55aa-4ae5-b7d6-6e7c89047cc8,ACE-0006,2026-06-05,7,0.27862709760665894,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,transmision
73c3bd52-949c-4b37-8488-0932b69b5e03,ACE-0007,2026-06-05,7,0.032470379024744034,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,carroceria_chasis
e91ff4a0-564c-4b4f-9f3e-edc65a95d8ee,ACE-0008,2026-06-05,7,0.02731412649154663,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,suspension
79eb5340-14f0-424c-b932-1a949d9b2f65,ACE-0009,2026-06-05,7,0.06649269908666611,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,electrico_12v_24v
8642fbc2-a850-401c-aab0-9e126dfc1e41,ACE-0010,2026-06-05,7,0.29626816511154175,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,escape_emisiones
ccf70331-96d4-4ee9-af1f-6f6c02c9f1a6,ACE-0011,2026-06-05,7,0.41416341066360474,1,P3_media,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,transmision
aadb5d74-a50d-46e8-b3fd-fcbb478a579e,ACE-0012,2026-06-05,7,0.10897759348154068,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,transmision
361519c2-1888-43b7-8df5-71c7f58add08,ACE-0013,2026-06-05,7,0.7093985676765442,1,P2_alta,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,motor_combustion
9d78ba1b-3a3f-416a-9bab-dc259410ced7,ACE-0014,2026-06-05,7,0.11849268525838852,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,refrigeracion
4f47463a-7f16-4a26-8f83-972061833edd,ACE-0015,2026-06-05,7,0.3080087900161743,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,refrigeracion
e93574c3-39b8-4e1a-aa9a-37e179140da3,ACE-0016,2026-06-05,7,0.2864675223827362,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,electrico_12v_24v
e8f86291-7879-4960-bf7e-c5dc7df0904b,ACE-0017,2026-06-05,7,0.1728919893503189,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
0aeee54f-18ea-4bf2-ad56-c53f4774080e,ACE-0018,2026-06-05,7,0.011265909299254417,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,transmision
7e69cdc5-4c4a-4cdf-83fc-4f0c30c279d2,ACE-0019,2026-06-05,7,0.03611906245350838,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,refrigeracion
c70140d5-00c0-462e-aeea-0f7c3d2c70c1,ACE-0020,2026-06-05,7,0.18480299413204193,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,electrico_12v_24v
84716fe8-8482-4489-9123-272b41bff70a,ACE-0021,2026-06-05,7,0.02941465564072132,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,direccion
d9d06a34-15a4-466c-9f3b-482acf4e877c,ACE-0022,2026-06-05,7,0.1654939353466034,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,suspension
b40da1c8-8ff5-4230-a739-f618c1bed11d,ACE-0023,2026-06-05,7,0.06524307280778885,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,transmision
614438e4-c890-4a00-a885-a249040a2bca,ACE-0024,2026-06-05,7,0.11470605432987213,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,refrigeracion
594e9f58-84d2-42f2-9e8e-c43df3fb1cc6,ACE-0025,2026-06-05,7,0.17488519847393036,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
47501f61-faa4-4af0-85e5-c32b607d6f9d,ACE-0026,2026-06-05,7,0.0487440750002861,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
e62ab2f1-4a6c-4d2d-8679-0678bb6cf097,ACE-0027,2026-06-05,7,0.1894778460264206,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
41ff6ac5-3055-4430-9f80-20c7ccb3583c,ACE-0028,2026-06-05,7,0.003407701849937439,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
089ed53c-e4e5-49f5-9536-de0231920464,ACE-0029,2026-06-05,7,0.06947200000286102,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,motor_combustion
e1c8183a-1b7c-4e3b-9d20-4971633d1fdf,ACE-0030,2026-06-05,7,0.1289045512676239,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
78015458-4fd1-4206-8709-338416b22184,ACE-0031,2026-06-05,7,0.24437972903251648,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,combustible_admision
d04af33e-28df-42d5-ac3b-36d44a804af5,ACE-0032,2026-06-05,7,0.030220860615372658,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
bfedecf1-bba0-43f2-87e7-1d590a6f3805,ACE-0033,2026-06-05,7,0.05854484438896179,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,refrigeracion
0f1fb276-fa9d-4aeb-8223-49cdb51f0913,ACE-0034,2026-06-05,7,0.07706707715988159,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,electrico_12v_24v
467570cf-7d99-4dcb-9105-385ba3291953,ACE-0035,2026-06-05,7,0.1770249605178833,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,motor_combustion
f6a7dc73-603c-4f1d-a07a-217f74f224a2,ACE-0036,2026-06-05,7,0.16571734845638275,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,motor_combustion
436f0e77-a29d-4cc5-8022-81dc18ff094a,ACE-0037,2026-06-05,7,0.14188668131828308,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
10d6b851-4424-497e-b44e-fffcd16476f7,ACE-0038,2026-06-05,7,0.24349400401115417,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,motor_combustion
461d3037-7af4-4c5a-b199-8dd32b98ef4c,ACE-0039,2026-06-05,7,0.20083335041999817,1,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,frenos_servicio
46fd8a65-0097-4954-8c1b-317ad8ab6729,ACE-0040,2026-06-05,7,0.02882247045636177,0,P4_baja,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,transmision
845753ae-8e16-41ae-8447-2102e10f0f8b,ACE-0041,2026-06-05,7,0.5838953852653503,1,P3_media,xgboost_v1.0,,2026-06-05 20:45:10.066945+00:00,,,,,,,,,refrigeracion
